,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,-45.0,-96.0,-145.0,97.0,-135.0,-63.0,-98.0,-98.0,-93.0,-75.0,-84.0,-90.0,0.7071067811865476,-0.10452846326765333,-0.8191520442889916,-0.12186934340514737,-0.7071067811865475,0.4539904997395468,-0.13917310096006535,-0.13917310096006535,-0.05233595624294362,0.25881904510252074,0.10452846326765346,6.123233995736766e-17,-0.7071067811865476,-0.9945218953682734,-0.5735764363510464,0.9925461516413221,-0.7071067811865476,-0.8910065241883678,-0.9902680687415704,-0.9902680687415704,-0.9986295347545738,-0.9659258262890683,-0.9945218953682733,-1.0
11,-43.0,-95.0,-90.0,-149.0,115.0,0.0,-80.0,-88.0,101.0,-177.0,-88.0,-90.0,0.7313537016191706,-0.08715574274765824,6.123233995736766e-17,-0.8571673007021122,-0.42261826174069933,1.0,0.17364817766693041,0.03489949670250108,-0.1908089953765448,-0.9986295347545738,0.03489949670250108,6.123233995736766e-17,-0.6819983600624985,-0.9961946980917455,-1.0,-0.5150380749100544,0.90630778703665,0.0,-0.984807753012208,-0.9993908270190958,0.981627183447664,-0.05233595624294381,-0.9993908270190958,-1.0
12,-45.0,-99.0,-140.0,-135.0,-135.0,-27.0,-100.0,-98.0,-92.0,-87.0,-84.0,-7.0,0.7071067811865476,-0.15643446504023104,-0.7660444431189779,-0.7071067811865475,-0.7071067811865475,0.8910065241883679,-0.1736481776669303,-0.13917310096006535,-0.03489949670250073,0.052335956242943966,0.10452846326765346,0.992546151641322,-0.7071067811865476,-0.9876883405951377,-0.6427876096865395,-0.7071067811865476,-0.7071067811865476,-0.45399049973954675,-0.984807753012208,-0.9902680687415704,-0.9993908270190958,-0.9986295347545738,-0.9945218953682733,-0.12186934340514748
13,0.0,-100.0,-137.0,-141.0,-135.0,-45.0,-100.0,-98.0,-92.0,-87.0,-84.0,-45.0,1.0,-0.1736481776669303,-0.7313537016191705,-0.7771459614569707,-0.7071067811865475,0.7071067811865476,-0.1736481776669303,-0.13917310096006535,-0.03489949670250073,0.052335956242943966,0.10452846326765346,0.7071067811865476,0.0,-0.984807753012208,-0.6819983600624985,-0.6293203910498377,-0.7071067811865476,-0.7071067811865476,-0.984807753012208,-0.9902680687415704,-0.9993908270190958,-0.9986295347545738,-0.9945218953682733,-0.7071067811865476
14,0.0,-104.0,-93.0,-135.0,120.0,-45.0,-98.0,-96.0,-98.0,-87.0,-50.0,-56.0,1.0,-0.24192189559966779,-0.05233595624294362,-0.7071067811865475,-0.4999999999999998,0.7071067811865476,-0.13917310096006535,-0.10452846326765333,-0.13917310096006535,0.052335956242943966,0.6427876096865394,0.5591929034707468,0.0,-0.9702957262759965,-0.9986295347545738,-0.7071067811865476,0.8660254037844387,-0.7071067811865476,-0.9902680687415704,-0.9945218953682734,-0.9902680687415704,-0.9986295347545738,-0.766044443118978,-0.8290375725550417
15,0.0,-107.0,-69.0,-129.0,115.0,-63.0,-97.0,-68.0,-99.0,-177.0,-79.0,-174.0,1.0,-0.29237170472273666,0.3583679495453004,-0.6293203910498373,-0.42261826174069933,0.4539904997395468,-0.12186934340514737,0.37460659341591196,-0.15643446504023104,-0.9986295347545738,0.19080899537654492,-0.9945218953682733,0.0,-0.9563047559630355,-0.9335804264972017,-0.777145961456971,0.90630778703665,-0.8910065241883678,-0.9925461516413221,-0.9271838545667874,-0.9876883405951377,-0.05233595624294381,-0.981627183447664,-0.10452846326765373
16,-27.0,-101.0,-143.0,-141.0,-39.0,-90.0,-91.0,-93.0,-108.0,-108.0,-41.0,-63.0,0.8910065241883679,-0.1908089953765448,-0.7986355100472929,-0.7771459614569707,0.7771459614569709,6.123233995736766e-17,-0.017452406437283477,-0.05233595624294362,-0.30901699437494734,-0.30901699437494734,0.754709580222772,0.4539904997395468,-0.45399049973954675,-0.981627183447664,-0.6018150231520482,-0.6293203910498377,-0.6293203910498374,-1.0,-0.9998476951563913,-0.9986295347545738,-0.9510565162951536,-0.9510565162951536,-0.6560590289905072,-0.8910065241883678
17,-45.0,-95.0,-69.0,-153.0,114.0,0.0,-91.0,-92.0,-108.0,-108.0,-30.0,-63.0,0.7071067811865476,-0.08715574274765824,0.3583679495453004,-0.8910065241883678,-0.4067366430758001,1.0,-0.017452406437283477,-0.03489949670250073,-0.30901699437494734,-0.30901699437494734,0.8660254037844387,0.4539904997395468,-0.7071067811865476,-0.9961946980917455,-0.9335804264972017,-0.45399049973954686,0.913545457642601,0.0,-0.9998476951563913,-0.9993908270190958,-0.9510565162951536,-0.9510565162951536,-0.49999999999999994,-0.8910065241883678
18,0.0,-84.0,-89.0,-150.0,99.0,-135.0,-90.0,-92.0,-108.0,-100.0,-27.0,-81.0,1.0,0.10452846326765346,0.017452406437283376,-0.8660254037844387,-0.15643446504023104,-0.7071067811865475,6.123233995736766e-17,-0.03489949670250073,-0.30901699437494734,-0.1736481776669303,0.8910065241883679,0.15643446504023092,0.0,-0.9945218953682733,-0.9998476951563913,-0.49999999999999994,0.9876883405951377,-0.7071067811865476,-1.0,-0.9993908270190958,-0.9510565162951536,-0.984807753012208,-0.45399049973954675,-0.9876883405951378
19,180.0,-96.0,-98.0,96.0,87.0,0.0,-92.0,-90.0,-105.0,-99.0,-36.0,-81.0,-1.0,-0.10452846326765333,-0.13917310096006535,-0.10452846326765333,0.052335956242943966,1.0,-0.03489949670250073,6.123233995736766e-17,-0.25881904510252085,-0.15643446504023104,0.8090169943749475,0.15643446504023092,1.2246467991473532e-16,-0.9945218953682734,-0.9902680687415704,0.9945218953682734,0.9986295347545738,0.0,-0.9993908270190958,-1.0,-0.9659258262890683,-0.9876883405951377,-0.5877852522924731,-0.9876883405951378
